INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-10-01T21:00:00-00:00,2022-10-01T22:00:00-00:00,2022-10-01,15,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.60666,4
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,2022-10-01,8,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,3.54216,4
2022-10-01T16:00:00-00:00,2022-10-01T17:00:00-00:00,2022-10-01,10,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.92951,4
2022-10-01T15:00:00-00:00,2022-10-01T16:00:00-00:00,2022-10-01,9,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.46922,4
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,2022-10-01,6,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.64287,4
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,2022-10-01,18,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.86292,4
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,2022-10-01,11,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.5178,4
2022-10-01T07:00:00-00:00,2022-10-01T08:00:00-00:00,2022-10-01,1,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.53164,4
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,2022-10-01,23,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.70768,4
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,2022-10-01,14,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.33042,4
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,2022-10-01,20,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,3.45155,4
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,2022-10-01,16,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.82742,4
2022-10-01T18:00:00-00:00,2022-10-01T19:00:00-00:00,2022-10-01,12,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,1.34181,4
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,2022-10-01,4,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.50594,4
2022-10-02T04:00:00-00:00,2022-10-02T05:00:00-00:00,2022-10-01,22,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.38391,4
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,2022-10-01,17,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.35406,4
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,2022-10-01,7,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.83643,4
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,2022-10-01,2,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCL,LMP_LOSS_PRC,DAVIS_1_N030,ALL,1,2.71421,4
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,2022-10-01,20,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T14:00:00-00:00,2022-10-01T15:00:00-00:00,2022-10-01,8,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T10:00:00-00:00,2022-10-01T11:00:00-00:00,2022-10-01,4,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T13:00:00-00:00,2022-10-01T14:00:00-00:00,2022-10-01,7,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,2022-10-01,11,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-02T00:00:00-00:00,2022-10-02T01:00:00-00:00,2022-10-01,18,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,2022-10-01,16,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T11:00:00-00:00,2022-10-01T12:00:00-00:00,2022-10-01,5,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,2022-10-01,14,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,2022-10-01,6,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-02T01:00:00-00:00,2022-10-02T02:00:00-00:00,2022-10-01,19,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,2022-10-01,2,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MGHG,LMP_GHG_PRC,DAVIS_1_N030,ALL,1,0,5
